city,iso,lat_benchmark,lon_benchmark,ucdb_id,source_city,source_iso,iso_rph,iso_ind,city_state_overrided,pop_total_LS,ntl_mean,EQ_raw,EQ_w,FL_raw,FL_w,TC_raw,TC_w,DR_raw,DR_w,LS_EQ_raw,LS_EQ_w,LS_rain_raw,LS_rain_w,LS_w,ts_raw,ts_distance_deg,ts_w,ts_coordinate_missing,hazard_composite_6haz,n_country_cities,denom_src,hazard_ref,pop_ref,ntl_ref,H,pop_ratio,ntl_ratio,E,R_Ph_national,R_Ph_national_effective,national_risk_override
Tehran,IRN,35.6738890000,51.4223980000,5174,Tehran,IRN,IRN,IRN,0,9396870.0000000000,23.8750041517,137.0385979373,0.2347447166,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.2682956423,0.1387746949,1.0058523914,0.1264673792,1.0038746145,0.1259705302,0.1264673792,0.0000000000,9.7367920163,0.0000000000,0,0.0833311318,63,IRN,0.0956556711,830344.4285714285,2.7816227577,0.8711572536,11.3168339266,8.5831208010,10.1319504122,0.7493182632,0.7493182632,
Karachi,PAK,24.8719380000,66.9880630000,2457,Karachi,PAK,PAK,PAK,0,30091980.0000000000,9.6390229194,73.1955713980,0.0669698959,0.0000000000,0.0000000000,144.4513855398,0.4636933952,6.2457840452,0.1950490917,1.0002215524,0.1250553942,1.0002215524,0.1250553942,0.1250553942,2.5438000000,0.0710034413,0.0575192750,0,0.1513811753,42,PAK,0.0883432025,10883848.1904761903,1.5412459606,1.7135577057,2.7648290819,6.2540458602,3.8323520528,1.0000000000,1.0000000000,
Istanbul,TUR,41.1069420000,29.0080560000,2637,Istanbul,TUR,TUR,TUR,0,742540.0000000000,33.4568364891,156.7250206213,0.3070341511,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1866022559,0.1345042148,1.0279438429,0.1320835680,1.0323177497,0.1332099920,0.1332099920,1.3000000000,0.0553905756,0.0150222222,0,0.0982950967,99,TUR,0.1122678361,305497.5353535354,4.1553108099,0.8755410287,2.4305924404,8.0515845913,3.9244593026,0.7011085728,0.7011085728,
Buenos Aires,ARG,-34.6005560000,-58.3994770000,4443,Buenos Aires,ARG,ARG,ARG,0,3488088.0000000000,72.0521304172,0.0000000000,0.0000000000,5.5178525356,0.0001691483,0.0000000000,0.0000000000,6.2873414686,0.1976533137,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,13.1876327105,0.0000000000,0,0.0538037437,162,ARG,0.0640732218,161088.7901234568,2.4530682868,0.8397227765,21.6532013018,29.3722481367,24.4617849255,0.2857104781,0.2857104781,
Sao Paulo,BRA,-23.5567340000,-46.6269660000,7277,Sao Paulo,BRA,BRA,BRA,0,13714395.0000000000,36.9326303357,0.0000000000,0.0000000000,7.8938629377,0.0003461837,0.0000000000,0.0000000000,4.9767594424,0.1238406727,1.0166780033,0.1292042703,1.0278265516,0.1320534275,0.1320534275,0.0000000000,23.5328110808,0.0000000000,0,0.0427067140,388,BRA,0.0639021511,283220.6185567011,3.7246259688,0.6683141840,48.4230105488,9.9157957457,25.6780535956,0.2069075146,0.2069075146,
London,GBR,51.5096787806,-0.1258930364,5816,London,GBR,GBR,GBR,0,9132065.0000000000,4.9618912637,0.0000000000,0.0000000000,21.5006919779,0.0025682209,0.0000000000,0.0000000000,5.3902905720,0.1452761623,1.0000000000,0.1250000000,1.0039118599,0.1259798778,0.1259798778,0.0000000000,1.1325083198,0.0000000000,0,0.0456373768,57,GBR,0.0587588906,589573.8070175438,0.1753777793,0.7766888787,15.4892651120,28.2925880579,19.7100423939,0.0881692766,0.0881692766,
Sydney,AUS,-33.8539757201,151.0728557324,2324,Sydney,AUS,AUS,AUS,0,273941.0000000000,57.7886612104,0.0000000000,0.0000000000,0.0000000000,0.0000000000,91.8833465576,0.1876122083,4.0336927921,0.0813533877,1.0080756693,0.1270270694,1.0080756693,0.1270270694,0.1270270694,2.2123000000,0.0808367572,0.0435046337,0,0.0732495499,222,AUS,0.1092745119,58831.8423423423,2.0361893508,0.6703260311,4.6563389670,28.3807894330,9.5948135870,0.2341875522,0.2341875522,
Toronto,CAN,43.7019260000,-79.4219670000,2869,Toronto,CAN,CAN,CAN,0,3084013.0000000000,36.9393333573,0.0000000000,0.0000000000,1.5486837067,0.0000133246,57.2399678166,0.0728091981,4.8975923536,0.1199320543,1.0031412122,0.1257865365,1.0109044455,0.1277409747,0.1277409747,0.0000000000,5.2825011965,0.0000000000,0,0.0534159253,254,CAN,0.0698311550,141776.0236220472,1.3275112475,0.7649297126,21.7527119270,27.8260040569,24.0042633492,0.1393153471,0.1393153471,
Los Angeles,USA,33.9889625405,-118.0740847202,2007,Los Angeles,USA,USA,USA,0,9870477.0000000000,13.0731548682,196.4106014021,0.4822140543,8.8520022910,0.0004353219,99.8638723049,0.2216176220,4.6220041829,0.1068146133,1.0068204133,0.1267109181,1.0115485319,0.1279038040,0.1279038040,3.1941000000,0.2433733294,0.0906868872,0,0.1716120505,725,USA,0.1119911810,421538.6400000000,4.3078765791,1.5323711110,23.4153552329,3.0347097063,10.3406374563,0.2931765360,0.2931765360,
Mexico City,MEX,19.4443880000,-99.1329340000,5402,Mexico City,MEX,MEX,MEX,0,774436.0000000000,102.7533694408,0.0000000000,0.0000000000,620.2031642745,1.0000000000,115.3680375308,0.2957729796,5.5476727254,0.1538833633,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,2.6752241262,0.0000000000,0,0.2624427238,203,MEX,0.1365083344,314409.5369458128,6.3003416074,1.9225399319,2.4631441130,16.3091743025,5.2464638286,0.7455814669,0.7455814669,
